FID,Presubmission_ID,Project_Name,Date_Received,Meeting_Date,Meeting_Time,Meeting_Location_Place,Meeting_Location_Address,Meeting_Location_City,Meeting_Location_Zip,Proposed_Units,Proposed_Acres,Sign_Code,Sign_Year,locationDescription,TaxMap_Parcel,Zoning,Coordinates,geom
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-4264,715,Love Property,2007-05-25,2007-06-21,6:00 pm,Hawthorn Building,6175 Sunny Spring,Columbia,21044,3,1.57,,,E SIDE JERRYS DR,[TaxMap 35 Parcel 179],R-20,"(39.2044,-76.8762)",POINT (1347389.6868003495 560073.5928531922)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-4263,711,Hawks Landing,2007-05-16,2007-06-11,6:00 pm,Mt. Airy Presbyterian Church,15950 North Ave.,Lisbon,21765,2,10,,,N SIDE JENNINGS CHAPEL RD 1900' NW OF DAISY RD,[TaxMap 20 Parcel 50],RC-DEO,"(39.273,-77.0771)",POINT (1290473.54322635 585012.0511311926)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-4262,712,"Homewood Farm, Phase II",2007-05-21,2007-06-07,6:00 pm,Kahler Hall,5440 Old Tucker Row,Columbia,21044,2,9.87,,,N SIDE HOMEWOOD RD 2000' NW OF MCGEE WAY,[TaxMap 29 Parcel 303],RC-DEO,"(39.2428,-76.9065)",POINT (1338801.351376351 574036.7003001906)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-4261,713,Phong Nguyen-CONDITIONAL USE (2 family dwelling),2007-05-22,2007-06-06,6:00 pm,(On Site),5620 Waterloo  Road,Columbia,21045,,,,,SOUTHWEST BETWEEN WATERLOO ROAD AND DAVIS ROAD,[TaxMap 31 Parcel 617],R-20,"(39.2174,-76.8071)",POINT (1366991.1793843508 564775.2366321925)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-4260,710,Nordau Subdivision - Final Plat,2007-05-14,2007-06-05,6:30 pm,Avantis Restaurant,8801 Washington Blvd.,Jessup,20794,4,1.49,,07,S SIDE OF MISSION RD 1000' E OF GUILFORD RD,[TaxMap 42 Parcel 396],R-12,"(39.1564,-76.8171)",POINT (1364131.329438351 542609.2535781916)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-425f,709,"Columbia Hills, Section 10",2007-05-09,2007-05-31,6:00 pm,Lynwood Square Shopping Center (Suite 101),6060 Marshalee Drive,Elkridge,21075,13,7.8,,,S SIDE SYBERT DR OPPOSITE MEADOWBROOK LN,[TaxMap 30 Parcel 13],R-20,"(39.2416,-76.826)",POINT (1361623.7531503513 573574.4998791926)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-425e,708,Terra Maria Lot F-1,2007-04-30,2007-05-21,6:30 PM,Community Building,3112 St. Charles Place,Ellicott City,21042,4,1.11,,,NE QUADRANT TERRA MARIA WAY & FREDERICK RD,[TaxMap 16 Parcel 453],R-SC,"(39.2856,-76.889)",POINT (1343764.0738423504 589597.3265901916)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-425d,707,ZONING AMENDMENT,2007-04-23,2007-05-15,6:00 PM,Lisbon Fire Hall,1330 Route 94,Lisbon,21765,,,,,"EAST OF RIDGE ROAD, SOUTH OF I-70",[TaxMap 6 Parcel 106],,"(39.341,-77.1753)",POINT (1262617.000674352 609736.6826211903)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-425c,706,Bonnie Ridge Section II,2007-04-20,2007-05-14,7:00 PM,Elkridge Library,6540 WASHINGTON BLVD,Elkridge,21075,2,0.426,,,TERMINUS OF CLAIRE DR,"[TaxMap 38 Parcel 130],[TaxMap 38 Parcel 881]",R-12,"(39.2092,-76.7213)",POINT (1391293.243884351 561802.0260561928)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-425b,704,Homewood Farm,2007-04-09,2007-05-03,6 PM,Kahler Hall,5440 Old Tucker Row,Columbia,21044,2,14.72,,,N SIDE HOMEWOOD RD 2000' NW OF MCGEE WAY,[TaxMap 29 Parcel 303],RC-DEO,"(39.2431,-76.9063)",POINT (1338879.2880263515 574130.5222581904)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-425a,705,"Jack C. Fyock, Jr. Prop. - COND USE (Landscaping)",2007-04-10,2007-05-01,6:00 PM,NOTE MEETING DATE CHANGE TO MAY 1,13705 Triadelphia Rd,Glenelg,21737,,,,,"WEST SIDE OF TEN OAKS ROAD, ABOUT 650' SOUTH OF TRIADELPHIA ROAD",[TaxMap 22 Parcel 201],RR-DEO,"(39.2601,-76.9869)",POINT (1316020.3268783502 580334.0446671918)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-4259,703,"Dennis F. Cook, Sr. (2 family dwelling) COND USE",2007-03-31,2007-04-20,6:00 pm,Lisbon Volunteer Fire Department (Social Hall),1330 Woodbine Road,Lisbon,21765,,,,,"NE OF OLD ANNAPOLIS ROAD, ABOUT 300' N OF WOODBINE ROAD",[TaxMap 7 Parcel 123],RC-DEO,"(39.3173,-77.1047)",POINT (1282631.982612349 601113.7901091911)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-4258,702,Mahanes Place,2007-03-29,2007-04-19,6:30 pm,McGills Common Pool Building,10025 Shaker Drive,Columbia,21046,2,0.92,,,N SIDE OF GUILFORD RD. 130 FT SE OF SASSAFRAS CT,[TaxMap 42 Parcel 51],R-12,"(39.1705,-76.8623)",POINT (1351345.1843423508 547748.0058591906)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-4257,701,Trotter Pointe,2007-03-27,2007-04-17,6:00 pm,Clarksville Fire Station,5000 Signal Bell,Clarksville,21029,14,7.65,,,W SIDE TROTTER RD N OF SOUTH WIND CIR,"[TaxMap 35 Parcel 165],[TaxMap 35 Parcel 8],[TaxMap 35 Parcel 9]",R-20,"(39.2125,-76.9201)",POINT (1334956.0987683535 563025.3480201904)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-4256,700,Zoning Change (R-ED to R-A-15) ZONING BOARD,2007-03-16,2007-04-14,9:00 AM,Elkridge Public Library,6540 Washinton Blvd,Elkridge,,,,,,"NORTHEAST OF MONTGOMERY ROAD, ABOUT 800' NORTH OF WASHINGTON BOULEVARD",[TaxMap 38 Parcel 655],R-ED,"(39.21,-76.7284)",POINT (1389291.2639003545 562086.764789192)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-4255,697,Sayed Hassan,2007-03-12,2007-04-03,6:00 pm,(On Site),8760 Rose Lane,Jessup,20794,7,2.3,,,N SIDE ROSE LN 500' SW OF JONES RD,"[TaxMap 42 Parcel 160],[TaxMap 42 Parcel 240]",R-12,"(39.1538,-76.8167)",POINT (1364257.1617023498 541647.7603341918)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-4254,699,"Pleasant Chase, Phase IV  (CANCELLED)",2007-03-12,2007-03-28,6:00 pm,Savage Library Meeting Room,9525 Durness Lane,Laurel,20723,41,9.5,,,N SIDE HICKS RD,"[TaxMap 43 Parcel 211],[TaxMap 43 Parcel 492],[TaxMap 43 Parcel 493],[TaxMap 43 Parcel 494],[TaxMap 43 Parcel 622]",R-SC,"(39.1671,-76.7943)",POINT (1370592.4194263518 546508.6832511909)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-4253,695,"K. Dale Ashwell, Jr. SchoolBusPark./Stor.-COND USE",2007-02-28,2007-03-26,6:00 pm,Howard County Fairgrounds - Dining Hall,2219 Fairgrounds Road,West Friendship,21794,,,,,"NORTH OF FREDERICE ROAD, ABOUT 1050' EAST OF NURSERY COURT",[TaxMap 2 Parcel 93],RC-DEO,"(39.3503,-77.1156)",POINT (1279541.7235883512 613136.4558201898)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-4252,694,Melchoir Property,2007-02-27,2007-03-20,6:00 pm,Friendship Baptist Church,1391 Sykesville Road,Sykesville,21784,6,25,,,E SIDE WOODFORD DR N OF DEER HAVEN RD,[TaxMap 10 Parcel 184],RR-DEO,"(39.3305,-76.9302)",POINT (1332095.9654163532 605912.8923561908)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-4251,691,Jones Road Project,2007-02-21,2007-03-19,6:00 pm,(On Site),7871 Jones Road,Jessup,20794,2,0.63,,,NE SIDE JONES RD N SIDE ROSE LN,[TaxMap 42 Parcel 246],R-12,"(39.1543,-76.8145)",POINT (1364887.4566463493 541855.0414041914)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-4250,684,Syed Property,2007-02-27,2007-03-19,6:00 pm,Howard County Library (Elkridge Branch),6540 Washington Boulevard,Elkridge,21075,8,5,,,,[TaxMap 38 Parcel 554],R-20,"(39.2113,-76.7416)",POINT (1385535.0007763505 562589.6941221897)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-424f,696,Ernest and Awilda Green,2007-03-02,2007-03-16,6:00 pm,(On Site),6017 Bauman Drive,Elkridge,21075,2,1.212,,,S SIDE BAUMAN DR,"[TaxMap 37 Parcel 350],[TaxMap 37 Parcel 711]",R-12,"(39.2067,-76.7465)",POINT (1384145.4611583538 560912.1720591914)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-424e,688,Melville Chapel United Methodist Church-COND. USE,2007-02-15,2007-03-14,7:30 pm,Sanctuary Overflow Room,5660 Furnace Avenue,Elkridge,21075,,,,,"SOUTH OF FURNACE AVENUE, ABOUT 750' EAST OF OLD WASHINGTON ROAD",[TaxMap 38 Parcel 433],R-12,"(39.2148,-76.7067)",POINT (1395439.4736643508 563849.017535191)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-424d,693,Basham Property,2007-02-26,2007-03-13,6:00 pm,Elkridge Volunteer Fire Department (Banquet Hall),6275 Old Washington Road,Elkridge,21075,6,1.87,,,W SIDE OF HANOVER RD. N OF LOUDON AVE,[TaxMap 38 Parcel 342],R-12,"(39.1938,-76.7247)",POINT (1390345.5342203528 556197.4368441906)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-424c,692,Winter Crest,2007-02-22,2007-03-12,6:30 pm,Elkridge Elementary School,7075 Montgomery Road,Elkridge,21075,8,3.7,,,N SIDE WINTERS LN 600' NW OF HANOVER RD,[TaxMap 38 Parcel 868],R-12,"(39.1972,-76.7234)",POINT (1390691.2895403504 557430.9410361927)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-424b,689,Gowl Property,2007-02-16,2007-03-07,6:00 pm,(On Site),5121 Ilchester Road,Ellicott City,21043,3,1.66,,,,[TaxMap 31 Parcel 545],R-20,"(39.2307,-76.7783)",POINT (1375136.2678243518 569617.6133481935)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-424a,685,Fawcett Property,2007-02-13,2007-03-01,6:00 pm,(On Site),4941 Bonnie Branch Road,Ellicott City,21043,2,2.42,,,E SIDE BONNIE BRANCH RD 500' S OF TWIN STREAM DR,[TaxMap 31 Parcel 321],R-20,"(39.2351,-76.781)",POINT (1374366.253722351 571246.042526193)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-4249,683,"Greenskeeper Environmental, LLC - CONDITIONAL USE",2007-02-07,2007-02-27,6:00 pm,Clarksville Fire Station - Community Room,5000 Signal Bell Lane,Clarksville,21029,,,,,E SIDE OF HIGHLAND RD NORTH OF STAYER CT,[TaxMap 34 Parcel 170],RR-DEO,"(39.188,-76.9741)",POINT (1319653.024986349 554089.715648191)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-4248,682,Winter Crest,2007-02-01,2007-02-15,6:30 pm,Elkridge Elementary School Cafeteria,7075 Montgomery Road,Elkridge,21076,8,3.7,,,N SIDE WINTERS LN 600' NW OF HANOVER RD,[TaxMap 38 Parcel 868],R-12,"(39.1972,-76.7234)",POINT (1390691.2895403504 557430.9410361927)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-4247,679,Fawcett Property,2007-01-17,2007-02-08,6:00 pm,Ilchester Elementary School,4981 Ilchester Road,Ellicott City,21043,2,2.42,,,E SIDE BONNIE BRANCH RD 500' S OF TWIN STREAM DR,[TaxMap 31 Parcel 321],R-20,"(39.2351,-76.781)",POINT (1374366.253722351 571246.042526193)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-4246,680,Ballew Property,2007-01-23,2007-02-08,6:00 pm,,8407 Main Street,Ellicott City,21043,2,1.61,,,W SIDE CHATHAM RD 600' S OF UNDEROAK DR,[TaxMap 24 Parcel 134],R-20,"(39.2696,-76.8335)",POINT (1359491.689812351 583778.9105901923)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-4245,681,Wall Property,2007-01-25,2007-01-29,6:15 pm,St. Paul's Episcopal Church,16457 Old Frederick Road,Mt Airy,21771,7,33.284,,,W SIDE WATERSVILLE RD 1500' S OF BLOOMS LN,[TaxMap 2 Parcel 18],RC-DEO,"(39.3555,-77.0985)",POINT (1284384.2819103524 615013.2586311903)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-4244,676,Triadelphia Estates,2007-01-09,2007-01-27,9:30 a.m.,Frederick Road,11418 Frederick Road,Ellicott City,21042,5,10.05,,,TRIADELPHIA ROAD,[TaxMap 22 Parcel 528],RC-DEO,"(39.284,-76.9438)",POINT (1328227.756922353 589007.8483191915)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-4243,677,Schooley Mill Farm,2007-01-10,2007-01-26,6:30 pm,School Mill Park Meeting Room,12975 Hall Shop Road,Highland,20777,12,24.4,,,S SIDE OF HALL SHOP RD W OF SCAGGSVILLE RD,"[TaxMap 40 Parcel 115],[TaxMap 40 Parcel 149]",RR-DEO,"(39.1692,-76.957)",POINT (1324484.8138803504 547255.9860561918)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-4242,673,Willow Pond,2007-01-09,2007-01-26,6:00 pm,The Meeting Room,6330 Trotter Road,Clarksville,21029,20,50.11,,,TERMINUS OF PRESTWICK DR,[TaxMap 34 Parcel 382],RR-DEO,"(39.1949,-76.9517)",POINT (1325989.699740354 556604.3623131905)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-4241,669,Brown Property,2007-01-03,2007-01-24,6:00 pm,Pointers Run Elementary School (Cafeteria),6600 S. Trotter Road,Clarksville,21029,11,24,,,W SIDE CLARKSVILLE PIKE 2300' S OF RICHARDSON FARM LN,[TaxMap 34 Parcel 301],RR-DEO,"(39.1892,-76.9543)",POINT (1325250.5768923499 554544.6430491935)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-4240,672,"Riverside Estate, Resub. of Lot 1(Mowrey Estates)",2007-01-09,2007-01-24,6:00 pm,(On Site),11726 N. Newberry Drive,Columbia,21044,1,1.038,,,NW QUADRANT NEWBERRY DR & JUDY LN,[TaxMap 41 Parcel 420],R-20,"(39.177,-76.8858)",POINT (1344666.1551403515 550101.1914801914)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-423f,671,Wharff  Lane (CONDITIONAL USE),2007-01-08,2007-01-23,6:00 pm,Howard County Library (Elkridge Branch),6540 Washington Boulevard,Elkridge,21075,40,10,,,TERMINUS OF WHARFF LN,"[TaxMap 31 Parcel 634],[TaxMap 31 Parcel 635]",R-20,"(39.24,-76.7755)",POINT (1375935.4727443494 573015.9319431912)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-423e,666,Stanley Pickett &Martha Pickett (CONDITIONAL USE),2006-12-28,2007-01-23,6:30 pm,Lisbon Volunteer Fire Department,1330 Route 94,Lisbon,21765,,,,,E SIDE OF WATERSVILLE RD N OF OLD FREDERICK RD,[TaxMap 2 Parcel 75],RC-DEO,"(39.3531,-77.0923)",POINT (1286152.1685383506 614128.4957481921)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-423d,662,Jones Road Property/Ho. Co. Housing Commission,2006-12-12,2007-01-04,7:00 pm,Morningside Park,9950 Guilford Road,Jessup,20794,20,9.83,,,E SIDE JONES RD 150' S OF MARY LN,"[TaxMap 42 Parcel 136],[TaxMap 42 Parcel 138],[TaxMap 42 Parcel 139]",R-12,"(39.1515,-76.8104)",POINT (1366038.9352243505 540830.2728861906)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-423c,663,Kevin Garvey(COND USE)LANDSCAPE CONTRACT BUS.,2006-12-13,2007-01-03,7:00 pm,Howard County Library (Glenwood Branch),2350 Rt. 97,Cooksville,21738,,,,,SOUTHEAST CORNER OF MCKENDREE RD AND RT 97,[TaxMap 14 Parcel 217],RR-DEO,"(39.3016,-77.0194)",POINT (1306800.5628863499 595410.2878251914)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-423b,656,"Forney Property, Lots 1-6",2006-11-28,2006-12-28,6:00 pm,Emmanuel United Methodist Church (Room #3),10755 Scaggsville Road,Laurel,20723,6,4.95,,,N SIDE SCAGGSVILLE RD 450' NW OF PINEWAY DR,"[TaxMap 46 Parcel 12],[TaxMap 46 Parcel 6]",R-20,"(39.14,-76.8831)",POINT (1345435.0356183536 536647.92273519)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-423a,660,"Kindler Overlook, II",2006-12-08,2006-12-27,6:00 pm,(On Site),7565 Old Columbia Pike,Laurel,20723,8,5.78,,,TERMINUS OF KINDLER OVERLOOK DR,[TaxMap 41 Parcel 386],R-20,"(39.1642,-76.8819)",POINT (1345769.1712923497 545429.0034321919)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-4239,665,Noohi Property,2006-11-14,2006-12-21,6:00 pm,Howard County Library - Miller Branch,9421 Frederick Road,Ellicott City,21042,3,1.84,,,W SIDE OF BETHANY LN 1150' S OF PATUXENT OVERLOOK CT,"[TaxMap 17 Parcel 195],[TaxMap 17 Parcel 196]",R-20,"(39.2848,-76.859)",POINT (1352262.0027523488 589308.224045191)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-4238,661,"Convenience Retailing, LLC -ZONING CHANGE B-1/PEC",2006-12-04,2006-12-20,6:00 pm,Kiwanis-Wallis Park,3300 Norberts Way,Ellicott City,21042,,,,,"SOUTH OF WARWICK WAY, AT ITS INTERSECTON WITH BIRMINGHAM WAY",[TaxMap 16 Parcel 429],B-1,"(39.3074,-76.8881)",POINT (1344024.8073623516 597532.5550611932)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-4237,658,BS Land Acquisition(COND USE)Age Restr Multi-plex,2006-11-29,2006-12-18,6:00 pm,Temple Beth Shalom of Howard County,8070 Harriet Tubman Lane,Columbia,21044,,,,,S SIDE HARRIET TUBMAN LN W OF FREETOWN RD,"[TaxMap 35 Parcel 153],[TaxMap 35 Parcel 256]",R-SA-8,"(39.1851,-76.8812)",POINT (1345975.4908603542 553028.945681192)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-4236,659,Centennial Gardens,2006-11-29,2006-12-14,7:00 pm,George Howard Building (Banneker Room),3430 Court House Drive,Ellicott City,21043,59,2.508,,,SOUTH SIDE OF BALTIMORE NATIONAL PIKE,[TaxMap 24 Parcel 1172],R-20,"(39.2774,-76.8578)",POINT (1352611.725756351 586606.6607661918)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-4235,654,"Woodbine/Brantly, LLC (COND USE)Multi-plex Housing",2006-11-17,2006-12-12,6:00 pm,Westminister Union Bank,15920 Old Frederick Road,Woodbine,21797,,,,,"NORTH OF OLD FREDERICK ROAD, ABOUT 300' E. OF ITS INTERS. W/MADISON STREET",[TaxMap 7 Parcel 478],B-2,"(39.3478,-77.0661)",POINT (1293563.8022503518 612228.7829241902)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-4234,652,Edward's Subdivision,2006-11-14,2006-12-05,6:00 pm,Columbia Presbyterian Church,10001 Route 108,Columbia,21044,3,1.76,,,WATERLOO ROAD,[TaxMap 31 Parcel 250],R-20,"(39.2177,-76.8081)",POINT (1366705.2227303535 564899.2416231912)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-4233,649,"Pindell Woods,LLC(COND USE)  2 Fam Dwell. In  R-12",2006-11-08,2006-12-02,10:00 am,Howard County Library (Elkridge Branch),6540 Washington Blvd.,Elkridge,21075,,,,,OLD WASHINGTON RD 200' SOUTH OF MONTGOMERY RD,[TaxMap 38 Parcel 106],R-12,"(39.2057,-76.7273)",POINT (1389598.1925983503 560521.9745361917)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-4232,648,"Emily's Delight,LLC(COND USE) 2 Fam Dwell.In R-12",2006-11-08,2006-12-02,9:00 am,Howard County Library  (Elkridge Branch),6540 Washington Blvd.,Elkridge,21075,,,,,,[TaxMap 38 Parcel 886],R-12,"(39.208,-76.7168)",POINT (1392575.0892223492 561375.0997821931)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-4231,653,Takiar Property Minor Subdivision,2006-11-16,2006-12-01,6:00 pm,(On Site),11451 Harding Road,Laurel,20723,3,1.71,,,S SIDE HARDING RD 300' E OF OLD COLUMBIA RD,[TaxMap 46 Parcel 72],R-20,"(39.1325,-76.9089)",POINT (1338128.5455323495 533910.7216581926)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-4230,655,Westover Glen,2006-11-03,2006-11-21,7:30 pm,Savage Library,9525 Durness Lane,Laurel,20723,215,18.61,,,"EAST SIDE OF GORMAN ROAD, 1400' N OF SKYLARK BLVD","[TaxMap  Parcel ],[TaxMap 47 Parcel 4]",PSC,"(39.1434,-76.8536)",POINT (1353811.890651092 537866.6554235723)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-422f,644,Savage Towne Centre,2006-11-02,2006-11-20,6:30 pm,Courtyard Marriott - Fort Meade,2700 Hercules Road,Annapolis Junction,20701,260,10.9,,,E SIDE DORSEY RUN RD S OF HENKELS LN,"[TaxMap 48 Parcel 137],[TaxMap 48 Parcel 194]",TOD,"(39.1246,-76.7947)",POINT (1370483.3081163503 531060.0614691898)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-422e,643,Pfefferkorn Overlook,2006-10-30,2006-11-16,6:00 pm,(On Site),2797 Pfefferkorn Overlook,West Friendship,21794,15,50.34,,,EAST SIDE OF PFEFFERKORN RD APPROX. 1.2 MILES SOUTH OF MD 144,[TaxMap 15 Parcel 164],RC-DEO,"(39.2963,-76.9855)",POINT (1316426.1642703488 593478.2100621909)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-422d,642,Wilson Village,2006-10-23,2006-11-09,6:00 pm,(On Site),15850 Old Frederick Road,Woodbine,21797,20,5.85,,,"NORTH OF OLD FREDERICK ROAD, ABOUT 300' E. OF ITS INTERS. W/MADISON STREET",[TaxMap 7 Parcel 478],B-2,"(39.3478,-77.0661)",POINT (1293563.8022503518 612228.7829241902)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-422c,637,"Weis Markets, Inc.  (CONDITIONAL. USE) GAS STATION",2006-10-11,2006-11-08,6:00 pm,(OnSite),8861 Gorman Road,Laurel,20723,,,,,,[TaxMap 47 Parcel 142],B-2,"(39.129,-76.8239)",POINT (1362213.8044423498 532653.580151191)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-422b,641,Palmer Property,2006-10-19,2006-11-08,6:00 pm,(On Site),6217 Meadowridge Road,Elkridge,21075,2,2.01,,,E SIDE MEADOWRIDGE RD N OF OLD STOCKBRIDGE DR,[TaxMap 37 Parcel 129],R-SC,"(39.2002,-76.7802)",POINT (1374600.3470783494 558551.3497671932)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-422a,639,Watkins' Choice,2006-10-18,2006-11-06,6:00 pm,Gorman Crossing Elementary School,9999 Winter Sun Road,Laurel,20723,6,3.5,,,N SIDE STANSFIELD RD E OF BILL LILLY CT,[TaxMap 46 Parcel 215],R-20,"(39.1296,-76.8759)",POINT (1347490.295930352 532872.861704193)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-4229,650,Ellicott Gardens,2006-10-11,2006-11-02,6:00 pm,(On Site),5505 Waterloo Road,Ellicott City,21043,110,3.3895,,,WATERLOO ROAD OPPOSITE BARRINGTON CT,[TaxMap 31 Parcel 427],POR,"(39.2208,-76.8064)",POINT (1367169.1583523527 566036.3783001918)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-4228,638,O'Neill Subdivision,2006-10-12,2006-10-31,6:00 pm,Miller Library,9421 Frederick Road,Ellicott City,21042,3,1.77,,,S SIDE OF ILCHESTER RD E OF ILCHESTER MANOR LN,[TaxMap 31 Parcel 559],R-20,"(39.228,-76.7829)",POINT (1373840.535592351 568655.7564531919)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-4227,634,Morsberger Property,2006-10-10,2006-10-26,6:00 pm,(On Site),11365 Route 99 (Old Frederick Road),Marriottsville,21104,21,13.5,,,S SIDE OF OLD FREDERICK RD 1700' W OF MARRIOTTSVILLE RD,"[TaxMap 10 Parcel 207],[TaxMap 10 Parcel 224],[TaxMap 16 Parcel 224]",R-20,"(39.3172,-76.9056)",POINT (1339058.400618352 601075.6067541931)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-4226,633,Forney Property,2006-10-10,2006-10-25,7:00 pm,(On Site),5632 Waterloo Road,Columbia,21045,2,1.5,,,SW SIDE WATERLOO RD OPPOSITE MONTGOMERY RUN RD,[TaxMap 37 Parcel 219],R-20,"(39.2161,-76.8067)",POINT (1367089.237860348 564305.3995401915)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-4225,631,Kalyniuk Property Kalyniuk,2006-09-29,2006-10-25,6:00 pm,(On Site),3714 Chatham Road,Ellicott City,21042,8,4.38,,,W SIDE CHATHAM RD 1000' S OF UNDEROAK RD,"[TaxMap 24 Parcel 412],[TaxMap 24 Parcel 413]",R-20,"(39.2686,-76.8339)",POINT (1359390.2304643504 583405.0773621909)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-4224,632,Salvatore & Estela Valenziano,2006-10-04,2006-10-20,6:00 pm,(On Site),14661 Red Lion Drive,Woodbine,21797,2,13,,,TERMINUS OF RED LION DR,[TaxMap 8 Parcel 93],RC-DEO,"(39.3304,-77.0208)",POINT (1306415.1307263523 605895.0734571926)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-4223,629,Rachuba Property,2006-09-20,2006-10-12,6:00 pm,(On Site),4043 Overlook Drive,Ellicott City,21043,2,0.31,,,E SIDE OF OVERLOOK DR,[TaxMap 25 Parcel 96],R-20,"(39.2607,-76.8076)",POINT (1366844.3750763498 580541.6893881932)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-4222,630,Thaler Estates (Resub of Non-Bldg. Bulk Par A),2200-09-22,2006-10-07,1:30 pm,(On Site),13550 Triadelphia Mill Road,Clarksville,21029,2,33.18,,,,[TaxMap 28 Parcel 64],RR-DEO,"(39.2212,-76.9796)",POINT (1318100.243512351 566171.6564721912)
